ลำดับ,รหัสวัสดุ,ชื่อวัสดุ,หมวดวัสดุ,ราคาซื้อ,"จำนวน
ซื้อ",หน่วยนับ,"จำนวน
ขั้นต่ำ","จำนวน
สูงสุด",จำนวนสินค้าคงเหลือ,สถานะการเติมสินค้า,"สถานะ
การใช้",ราคาชื้อรวม,"จำนวนการเบิก
ถึงปัจุบัน","เฉลี่ยเบิก
ต่อเดือน",รูปภาพ
32,1ค21,คริสต์มาสสเปรย์หิมะ 280ml,วัสดุสำนักงาน,15.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
33,1ค22,คริสต์มาสสายรุ้งปีใหม่ ยาว 2เมตร คละแบบ,วัสดุสำนักงาน,12.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
34,1ค23,คริสต์มาสสายรุ้งปีใหม่ สีเขียว 3 เมตร x 11 ซม.,วัสดุสำนักงาน,15.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
35,1ค24,คริสต์มาสอุปกรณ์ตกแต่งต้นคริสต์มาส คละแบบ,วัสดุสำนักงาน,15.00,,ชิ้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
36,1ค01,คลิปดำหนีบกระดาษ เบอร์  8 mm,วัสดุสำนักงาน,20.00,48,กล่อง,25,200,0,วัสดุหมด,ประจำ,960.00,0,0,
37,1ค02,คลิปดำหนีบกระดาษ เบอร์ 10 mm,วัสดุสำนักงาน,20.00,,กล่อง,25,200,0,วัสดุหมด,ประจำ,"4,000.00",0,0,
38,1ค03,คลิปดำหนีบกระดาษ เบอร์ 12 mm,วัสดุสำนักงาน,30.00,,กล่อง,25,200,0,วัสดุหมด,ประจำ,"6,000.00",0,0,
39,1ค04,คลิปดำหนีบกระดาษ เบอร์ 17.5 mm,วัสดุสำนักงาน,40.00,,กล่อง,25,200,0,วัสดุหมด,ประจำ,"8,000.00",0,0,
40,1ค05,คลิปดำหนีบกระดาษ เบอร์ 22 mm,วัสดุสำนักงาน,50.00,,กล่อง,25,200,-2,วัสดุหมด,ประจำ,"10,000.00",2,0,
41,1ค26,คลิปบอร์ด แผ่นรองเซ็น,วัสดุสำนักงาน,55.00,,แผ่น,2,50,0,วัสดุหมด,ประจำ,"2,750.00",0,0,
42,1ค06,คัทเตอร์,วัสดุสำนักงาน,55.00,36,อัน,6,50,0,วัสดุหมด,ประจำ,"1,980.00",0,0,
43,1ค07,เครื่องคิดเลข,วัสดุสำนักงาน,700.00,10,เครื่อง,2,12,0,วัสดุหมด,ประจำ,"7,000.00",0,0,
44,1ค08,เครื่องเหลาดินสอ,วัสดุสำนักงาน,250.00,6,อัน,1,20,0,วัสดุหมด,ประจำ,"1,500.00",0,0,
45,1ช02,ชุดแหวนประเก็น,วัสดุสำนักงาน,360.00,,ชุด,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
46,1ช01,เชือกขาว แดง,วัสดุสำนักงาน,50.00,,ม้วน,2,12,0,วัสดุหมด,ประจำ,600.00,0,0,
47,1ซ01,ซองขาว 2 พับ,วัสดุสำนักงาน,1.00,,ซอง,100,1000,0,วัสดุหมด,ประจำ,"1,000.00",0,0,
48,1ซ02,ซองขาว A4,วัสดุสำนักงาน,1.00,,ซอง,100,1000,0,วัสดุหมด,ประจำ,"1,000.00",0,0,
49,1ซ03,ซองขาวการ์ด,วัสดุสำนักงาน,1.00,,ซอง,100,500,0,วัสดุหมด,ประจำ,500.00,0,0,
50,1ซ04,ซองขาวจดหมาย ครุฑ,วัสดุสำนักงาน,1.00,,ซอง,100,1000,0,วัสดุหมด,ประจำ,"1,000.00",0,0,
51,1ซ05,ซองขาวใหญ่,วัสดุสำนักงาน,0.00,,ซอง,50,500,0,วัสดุหมด,ประจำ,0.00,0,0,
52,1ซ06,ซองถนอมเอกสาร แบบแขวนแฟ้ม,วัสดุสำนักงาน,20.00,,แพ็ค,6,200,0,วัสดุหมด,ประจำ,"4,000.00",0,0,
53,1ซ07,ซองพลาสติกสอดข้าง A4,วัสดุสำนักงาน,5.00,,ซอง,20,100,0,วัสดุหมด,ประจำ,500.00,0,0,
54,1ซ08,ซองพลาสติกสอดข้าง A4 (สี),วัสดุสำนักงาน,5.00,,ซอง,20,100,0,วัสดุหมด,ประจำ,500.00,0,0,
55,1ซ09,ซองสีน้ำตาล ครุฑ 2 พับ ,วัสดุสำนักงาน,3.00,,ซอง,100,1000,0,วัสดุหมด,ประจำ,"3,000.00",0,0,
56,1ซ10,ซองสีน้ำตาล ครุฑ A4,วัสดุสำนักงาน,4.00,,ซอง,100,1000,0,วัสดุหมด,ประจำ,"4,000.00",0,0,
57,1ซ11,ซองสีน้ำตาล ครุฑ A4 ขยายข้าง,วัสดุสำนักงาน,5.00,,ซอง,100,1000,0,วัสดุหมด,ประจำ,"5,000.00",0,0,
58,1ซ12,ซองสีน้ำตาล ครุฑ ขยายข้าง 11x17,วัสดุสำนักงาน,7.00,,ซอง,100,1000,0,วัสดุหมด,ประจำ,"7,000.00",0,0,
59,1ซ15,ซองสีน้ำตาล ไม่ขยายข้าง A3,วัสดุสำนักงาน,8.00,,ซอง,0,,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
60,1ซ13,ซองสีน้ำตาลการ์ด A5,วัสดุสำนักงาน,3.00,1000,ซอง,100,1000,0,วัสดุหมด,ประจำ,"3,000.00",0,0,
61,1ซ14,ซองเอกสารผูกเชือก A4,วัสดุสำนักงาน,15.00,,ซอง,20,200,0,วัสดุหมด,ประจำ,"3,000.00",0,0,
62,1ด01,ดินสอ 2B,วัสดุสำนักงาน,5.00,,แท่ง,30,200,0,วัสดุหมด,ประจำ,"1,000.00",0,0,
63,1ด02,ดินสอ HB,วัสดุสำนักงาน,3.00,,แท่ง,30,200,0,วัสดุหมด,ประจำ,600.00,0,0,
64,1ต07,ต้นคริสมาส 150 ซม.,วัสดุสำนักงาน,500.00,,อัน,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
65,1ต06,ตราแสตมป์วันที่,วัสดุสำนักงาน,65.00,,เล่ม,1,5,0,วัสดุหมด,ครั้งคราว,325.00,0,0,
66,1ต01,ตราแสตมป์วันที่ หมึกในตัว,วัสดุสำนักงาน,150.00,,อัน,2,30,0,วัสดุหมด,ประจำ,"4,500.00",0,0,
67,1ต02,ตราแสตมป์สำเนาถูกต้อง หมึกในตัว,วัสดุสำนักงาน,150.00,12,อัน,2,30,0,วัสดุหมด,ประจำ,"1,800.00",0,0,
68,1ต03,ตัวคันหนังสือ,วัสดุสำนักงาน,60.00,,อัน,1,10,0,วัสดุหมด,ประจำ,600.00,0,0,
69,1ต04,ตัวดึงลูกแม็ก,วัสดุสำนักงาน,80.00,,อัน,5,40,0,วัสดุหมด,ประจำ,"3,200.00",0,0,
70,1ต05,ตุ๊ดตู่ เจาะกระดาษ,วัสดุสำนักงาน,0.00,,อัน,3,20,0,วัสดุหมด,ประจำ,0.00,0,0,
71,1ถ01,ถังดับเพลิง CO2 ขนาด 10 ปอนด์,วัสดุสำนักงาน,"2,700.00",,ถัง,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
72,1ถ02,ถังดับเพลิงเคมีแห้ง ขนาด 10 ปอนด์,วัสดุสำนักงาน,"1,200.00",,ถัง,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
73,1ถ03,ถังดับเพลิงชนิดน้ำยาเหลวระเหย ขนาด 10 ปอนด์,วัสดุสำนักงาน,"3,500.00",,ถัง,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
74,1ถ04,ถังดับเพลิงชนิดน้ำยาเหลวระเหย ขนาด 5 ปอนด์,วัสดุสำนักงาน,"2,500.00",,ถัง,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
75,1ถ05,ถุงซิปล๊อต A5,วัสดุสำนักงาน,250.00,,แพ็ค,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
76,1ท01,เทป 2 หน้า โฟมกาว,วัสดุสำนักงาน,200.00,24,ม้วน,6,100,0,วัสดุหมด,ประจำ,"4,800.00",0,0,
77,1ท02,เทป 2 หน้า เยื่อกาว,วัสดุสำนักงาน,60.00,24,ม้วน,10,100,0,วัสดุหมด,ประจำ,"1,440.00",0,0,
78,1ท12,เทปปิดกล่อง 48 มม.X45 หลา,วัสดุสำนักงาน,45.00,24,ม้วน,4,100,0,วัสดุหมด,ประจำ,"1,080.00",0,0,
79,1ท03,เทปผ้ากาว 48 มม. X 45 หลา,วัสดุสำนักงาน,30.00,80,ม้วน,10,100,0,วัสดุหมด,ประจำ,"2,400.00",0,0,
80,1ท13,เทปโฟม ม้วนเล็ก,วัสดุสำนักงาน,10.00,,ม้วน,3,,0,วัสดุหมด,ครั้งคราว,,,,
81,1ท04,เทปใส 24 มม.X 33 มม. แกน 1 นิ้ว,วัสดุสำนักงาน,40.00,80,ม้วน,10,100,0,วัสดุหมด,ประจำ,"3,200.00",0,0,
82,1ท05,เทปใส 24 มม.X 33 มม. แกน 3 นิ้ว,วัสดุสำนักงาน,40.00,80,ม้วน,10,100,0,วัสดุหมด,ประจำ,"3,200.00",0,0,
83,1ท06,เทปใส 48 มม.X45 หลา,วัสดุสำนักงาน,45.00,48,ม้วน,10,100,0,วัสดุหมด,ประจำ,"2,160.00",0,0,
84,1ท07,แท่นตัดเทป แกน 1 นิ้ว,วัสดุสำนักงาน,65.00,6,อัน,3,20,0,วัสดุหมด,ประจำ,390.00,0,0,
85,1ท08,แท่นตัดเทป แกน 3 นิ้ว,วัสดุสำนักงาน,100.00,6,อัน,3,20,0,วัสดุหมด,ประจำ,600.00,0,0,
86,1ท09,แท่นประทับหมึก ดำ,วัสดุสำนักงาน,30.00,,อัน,1,6,0,วัสดุหมด,ครั้งคราว,180.00,0,0,
87,1ท10,แท่นประทับหมึก แดง,วัสดุสำนักงาน,30.00,,อัน,1,6,0,วัสดุหมด,ครั้งคราว,180.00,0,0,
88,1ท11,แท่นประทับหมึก น้ำเงิน,วัสดุสำนักงาน,30.00,,อัน,1,6,0,วัสดุหมด,ครั้งคราว,180.00,0,0,
89,1ธ01,ธงแบนเนอร์ HNY 2.5 ม.,วัสดุสำนักงาน,100.00,,เส้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
90,1น03,น๊อตสกูร (600ตัว),วัสดุสำนักงาน,120.00,,กล่อง,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
91,1น01,นาฬิกาดิจิตอล THAI SPORT สีเขียว ขนาด 48x18.9x3.5 ซม.,วัสดุสำนักงาน,"2,350.00",,อัน,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
92,1น02,นาฬิกาดิจิตอล THAI SPORT สีเขียว ขนาด 68.5x26x3 ซม.,วัสดุสำนักงาน,"3,900.00",,อัน,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
93,1บ03,แบตเตอรี่ (Leoch battery LP12-250 12V250AH) ,วัสดุสำนักงาน,"24,550.00",,ก้อน,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
94,1บ01,ใบมีด คัทเตอร์ 0.5 ปลายแหลม 30 องศา,วัสดุสำนักงาน,10.00,,ใบ,10,30,0,วัสดุหมด,ประจำ,300.00,0,0,
95,1บ02,ใบมีด คัทเตอร์ 0.5 ปลายแหลม 45 องศา,วัสดุสำนักงาน,10.00,,ใบ,10,30,0,วัสดุหมด,ประจำ,300.00,0,0,
96,1ป32,ปากกาเขียนกระจก,วัสดุสำนักงาน,85.00,,ด้าม,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
97,1ป01,ปากกาเขียนผ้า แฟ้ม ไม้ ซีดี ดำ,วัสดุสำนักงาน,40.00,,แท่ง,6,50,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
98,1ป02,ปากกาเขียนผ้า แฟ้ม ไม้ ซีดี น้ำเงิน,วัสดุสำนักงาน,40.00,,แท่ง,6,50,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
99,1ป03,"ปากกาเขียนเลขครุภัฑณ์ , Paint (ค)",วัสดุสำนักงาน,45.00,,แท่ง,2,50,0,วัสดุหมด,ประจำ,"2,250.00",0,0,
100,1ป04,ปากกาเคมี 2 หัว ดำ,วัสดุสำนักงาน,20.00,,แท่ง,20,100,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
101,1ป05,ปากกาเคมี 2 หัว แดง,วัสดุสำนักงาน,20.00,,แท่ง,20,100,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
102,1ป06,ปากกาเคมี 2 หัว น้ำเงิน,วัสดุสำนักงาน,20.00,,แท่ง,20,100,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
103,1ป07,ปากกาดำ,วัสดุสำนักงาน,4.00,200,แท่ง,50,150,0,วัสดุหมด,ประจำ,800.00,0,0,
104,1ป08,ปากกาดำ(เจล) 0.5 ,วัสดุสำนักงาน,45.00,48,แท่ง,10,120,0,วัสดุหมด,ประจำ,"2,160.00",0,0,
105,1ป09,ปากกาดำ(เจล) 0.7 ,วัสดุสำนักงาน,45.00,48,แท่ง,10,120,0,วัสดุหมด,ประจำ,"2,160.00",0,0,
106,1ป10,ปากกาดำ(เจล) 1.0 ,วัสดุสำนักงาน,50.00,48,แท่ง,10,120,0,วัสดุหมด,ประจำ,"2,400.00",0,0,
107,1ป11,ปากกาแดง,วัสดุสำนักงาน,4.00,200,แท่ง,50,150,0,วัสดุหมด,ประจำ,800.00,0,0,
108,1ป12,ปากกาแดง 0.5,วัสดุสำนักงาน,35.00,48,แท่ง,20,120,0,วัสดุหมด,ประจำ,"1,680.00",0,0,
109,1ป13,ปากกาแดง 0.7,วัสดุสำนักงาน,35.00,48,แท่ง,40,120,0,วัสดุหมด,ประจำ,"1,680.00",0,0,
110,1ป14,ปากกาแดง 1.0,วัสดุสำนักงาน,35.00,48,แท่ง,40,100,0,วัสดุหมด,ประจำ,"1,680.00",0,0,
111,1ป15,ปากกาแดง(เจล) 0.5 ,วัสดุสำนักงาน,45.00,48,แท่ง,30,120,0,วัสดุหมด,ประจำ,"2,160.00",0,0,
112,1ป16,ปากกาแดง(เจล) 0.7 ,วัสดุสำนักงาน,45.00,48,แท่ง,30,120,0,วัสดุหมด,ประจำ,"2,160.00",0,0,
113,1ป17,ปากกาแดง(เจล) 1.0 ,วัสดุสำนักงาน,50.00,48,แท่ง,30,120,0,วัสดุหมด,ประจำ,"2,400.00",0,0,
114,1ป18,ปากกาน้ำเงิน,วัสดุสำนักงาน,8.00,,แท่ง,50,300,0,วัสดุหมด,ประจำ,"2,400.00",0,0,
115,1ป19,ปากกาน้ำเงิน 0.5,วัสดุสำนักงาน,35.00,48,แท่ง,20,150,0,วัสดุหมด,ประจำ,"1,680.00",0,0,
116,1ป20,ปากกาน้ำเงิน 0.7,วัสดุสำนักงาน,35.00,,แท่ง,20,150,0,วัสดุหมด,ประจำ,"5,250.00",0,0,
117,1ป21,ปากกาน้ำเงิน 1.0,วัสดุสำนักงาน,35.00,,แท่ง,20,150,0,วัสดุหมด,ประจำ,"5,250.00",0,0,
118,1ป22,ปากกาน้ำเงิน(เจล) 0.5,วัสดุสำนักงาน,45.00,48,แท่ง,30,180,0,วัสดุหมด,ประจำ,"2,160.00",0,0,
119,1ป23,ปากกาน้ำเงิน(เจล) 0.7,วัสดุสำนักงาน,45.00,48,แท่ง,30,120,0,วัสดุหมด,ประจำ,"2,160.00",0,0,
120,1ป24,ปากกาน้ำเงิน(เจล) 1.0,วัสดุสำนักงาน,50.00,48,แท่ง,30,100,0,วัสดุหมด,ประจำ,"2,400.00",0,0,
121,1ป35,ปากกาเมจิก PILOT สีดำ,วัสดุสำนักงาน,7.00,,แท่ง,6,100,0,วัสดุหมด,ประจำ,700.00,0,0,
122,1ป33,ปากกาเมจิก PILOT สีแดง,วัสดุสำนักงาน,7.00,,แท่ง,6,100,0,วัสดุหมด,ประจำ,700.00,0,0,
123,1ป34,ปากกาเมจิก PILOT สีน้ำเงิน,วัสดุสำนักงาน,7.00,,แท่ง,6,100,0,วัสดุหมด,ประจำ,700.00,0,0,
124,1ป25,ปากกาไวท์บอร์ด ดำ,วัสดุสำนักงาน,20.00,,แท่ง,20,100,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
125,1ป26,ปากกาไวท์บอร์ด แดง,วัสดุสำนักงาน,20.00,,แท่ง,20,100,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
126,1ป27,ปากกาไวท์บอร์ด น้ำเงิน,วัสดุสำนักงาน,20.00,,แท่ง,20,100,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
127,1ป28,ปากกาไฮไลท์ สีชมพู่,วัสดุสำนักงาน,30.00,48,แท่ง,10,100,0,วัสดุหมด,ประจำ,"1,440.00",0,0,
128,1ป29,ปากกาไฮไลท์ สีส้ม,วัสดุสำนักงาน,30.00,48,แท่ง,10,100,0,วัสดุหมด,ประจำ,"1,440.00",0,0,
129,1ป30,ปากกาไฮไลท์ สีเหลือง,วัสดุสำนักงาน,30.00,48,แท่ง,10,100,0,วัสดุหมด,ประจำ,"1,440.00",0,0,
130,1ป31,แปลงลบกระดาน,วัสดุสำนักงาน,25.00,,อัน,3,50,0,วัสดุหมด,ประจำ,"1,250.00",0,0,
131,1ผ01,แผ่นเกียรติบัตร ภาษาไทย,วัสดุสำนักงาน,1.00,,แผ่น,250,1000,0,วัสดุหมด,ประจำ,"1,000.00",0,0,
132,1ผ02,แผ่นเกียรติบัตร ภาษาอังกฤษ,วัสดุสำนักงาน,1.00,,แผ่น,250,1000,0,วัสดุหมด,ประจำ,"1,000.00",0,0,
133,1ผ03,แผ่นทำสำเนา,วัสดุสำนักงาน,1.00,,แผ่น,5,24,0,วัสดุหมด,ประจำ,24.00,0,0,
134,1ผ04,แผ่นใสห่อปก A4,วัสดุสำนักงาน,1.00,,แผ่น,12,24,0,วัสดุหมด,ประจำ,24.00,0,0,
135,1พ06,พิวีซี ใส่กระดาษ A4,วัสดุสำนักงาน,35.00,,แผ่น,0,,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
136,1พ02,โพสต์อิท (Sing Here),วัสดุสำนักงาน,90.00,48,อัน,12,200,0,วัสดุหมด,ประจำ,"4,320.00",0,0,
137,1พ04,โพสต์อิท TABS,วัสดุสำนักงาน,40.00,,อัน,2,50,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
138,1พ03,โพสต์อิท ขนาด 76 mm. X 76 mm.,วัสดุสำนักงาน,35.00,60,อัน,10,200,0,วัสดุหมด,ประจำ,"2,100.00",0,0,
139,1พ01,โพสต์อิท แฟล็กซ์,วัสดุสำนักงาน,65.00,,อัน,12,200,0,วัสดุหมด,ประจำ,"13,000.00",0,0,
140,1พ05,ฟิวเจอร์บอร์ด 60*120ซม.,วัสดุสำนักงาน,40.00,,แผ่น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
141,1ฟ03,แฟ้มตราช้างสันกว้าง ดำ,วัสดุสำนักงาน,85.00,48,แฟ้ม,5,150,0,วัสดุหมด,ประจำ,"4,080.00",0,0,
142,1ฟ04,แฟ้มตราช้างสันกว้าง แดง,วัสดุสำนักงาน,85.00,72,แฟ้ม,5,150,0,วัสดุหมด,ประจำ,"6,120.00",0,0,
143,1ฟ05,แฟ้มปกแข็ง หนีบกระดาษ ,วัสดุสำนักงาน,55.00,,แฟ้ม,6,50,0,วัสดุหมด,ประจำ,"2,750.00",0,0,
144,1ฟ06,แฟ้มปกอ่อน หนีบกระดาษ ,วัสดุสำนักงาน,10.00,,แฟ้ม,10,50,0,วัสดุหมด,ประจำ,500.00,0,0,
145,1ฟ10,แฟ้มสอด 10 ไส้,วัสดุสำนักงาน,30.00,,อัน,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
146,1ฟ07,แฟ้มเสนอเซ็น,วัสดุสำนักงาน,150.00,24,แฟ้ม,5,100,0,วัสดุหมด,ประจำ,"3,600.00",0,0,
147,1ฟ01,แฟ้มห่วงปกกระดาษ ,วัสดุสำนักงาน,20.00,,แฟ้ม,10,50,0,วัสดุหมด,ประจำ,"1,000.00",0,0,
148,1ฟ02,แฟ้มห่วงปกพลาสติก,วัสดุสำนักงาน,30.00,,แฟ้ม,10,50,0,วัสดุหมด,ประจำ,"1,500.00",0,0,
149,1ฟ08,ไฟประดับคริสมาส สีวอมไวซ์ 10 ม.,วัสดุสำนักงาน,150.00,,เส้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
150,1ฟ09,ไฟประดับคริสมาส สีวอมไวซ์ 3 ม.,วัสดุสำนักงาน,150.00,,เส้น,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
151,1ม01,แม็กเย็บกระดาษ  เบอร์ 35,วัสดุสำนักงาน,380.00,12,อัน,3,50,0,วัสดุหมด,ประจำ,"4,560.00",0,0,
152,1ม02,แม็กเย็บกระดาษ เบอร์ 10,วัสดุสำนักงาน,85.00,12,อัน,3,50,0,วัสดุหมด,ประจำ,"1,020.00",0,0,
153,1ม04,แม็กเย็บกระดาษใหญ่ HS-324,วัสดุสำนักงาน,"3,000.00",,อัน,0,1,0,วัสดุหมด,ประจำ,"3,000.00",0,0,
154,1ม03,ไม้บรรทัดเหล็ก,วัสดุสำนักงาน,20.00,,อัน,6,36,0,วัสดุหมด,ประจำ,720.00,0,0,
155,1ย01,ยางลบ,วัสดุสำนักงาน,5.00,,ก้อน,10,50,0,วัสดุหมด,ประจำ,250.00,0,0,
156,1ล15,ริบบี้นผ้า สีขาว,วัสดุสำนักงาน,140.00,,ม้วน,0,0,0,วัสดุหมด,ครั้งคราว,0.00,0,0,
157,1ล01,ลวดเสียบกระปุก,วัสดุสำนักงาน,100.00,,กระปุก,4,20,0,วัสดุหมด,ประจำ,"2,000.00",0,0,
158,1ล02,ลวดเสียบกล่อง,วัสดุสำนักงาน,10.00,,กล่อง,30,100,0,วัสดุหมด,ประจำ,"1,000.00",0,0,
